subject,piles,piles_per_hour_of_work,condition,day,wbgt_average
1,14,1.75,CON,1,29.12752572
2,16,2,CON,1,29.12752572
3,12,1.5,CON,1,29.12752572
4,14,1.75,CON,1,29.12752572
5,17,2.125,CON,2,27.46958469
6,19,2.375,CON,2,27.46958469
7,11,1.375,CON,2,27.46958469
8,12,1.5,CON,2,27.46958469
9,11,1.375,CON,3,29.48309466
10,16,2,CON,3,29.48309466
11,11,1.375,CON,3,29.48309466
9,13,1.857142857,FAN,1,29.12752572
10,13,1.857142857,FAN,1,29.12752572
11,8,1.142857143,FAN,1,29.12752572
1,10,1.428571429,FAN,2,27.46958469
2,13,1.857142857,FAN,2,27.46958469
3,11,1.571428571,FAN,2,27.46958469
4,11,1.571428571,FAN,2,27.46958469
5,14,2,FAN,3,29.48309466
6,14,2,FAN,3,29.48309466
7,12,1.714285714,FAN,3,29.48309466
8,6,0.857142857,FAN,3,29.48309466
5,18,2.4,VEST,1,29.12752572
6,6,0.8,VEST,1,29.12752572
7,11,1.466666667,VEST,1,29.12752572
8,10,1.333333333,VEST,1,29.12752572
9,13,1.733333333,VEST,2,27.46958469
10,17,2.266666667,VEST,2,27.46958469
11,10,1.333333333,VEST,2,27.46958469
1,12,1.6,VEST,3,29.48309466
2,16,2.133333333,VEST,3,29.48309466
3,9,1.2,VEST,3,29.48309466
4,15,2,VEST,3,29.48309466
